KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
233,681.0,2,3,3,1,0.0,1,3,1,1,3,2,3
109,404.0,2,1,3,8,0.0,6,3,1,2,1,1,2
578,638.0,2,2,1,1,0.0,2,1,1,2,1,1,2
105,397.0,1,1,3,8,0.0,6,3,1,4,3,1,3
344,113.0,2,3,1,1,0.0,3,3,1,3,3,1,1
344,101.0,2,3,3,38,0.0,6,7,2,1,1,1,1
578,637.0,2,2,1,1,0.0,3,3,2,4,3,1,2
578,637.0,2,2,3,8,0.0,6,7,3,2,4,2,3
105,397.0,2,1,3,2,2.0,3,1,1,3,5,2,3
344,101.0,2,3,1,1,0.0,3,3,1,2,3,1,3
578,638.0,2,2,1,6,0.0,3,4,1,3,4,1,4
578,638.0,2,2,3,1,0.0,3,7,2,3,3,2,2
235,511.0,2,3,3,8,0.0,2,7,1,3,2,2,2
578,638.0,2,2,3,1,0.0,4,3,1,1,3,1,2
351,254.0,2,3,3,8,0.0,3,1,1,3,1,1,2
105,397.0,1,1,3,6,0.0,2,3,1,4,3,2,2
341,307.0,2,3,1,9,0.0,4,4,1,6,7,4,4
105,397.0,2,1,2,21,0.0,6,1,3,3,1,2,4
109,433.0,2,1,1,23,0.0,6,3,1,6,7,4,3
344,101.0,2,3,1,4,0.0,6,7,2,3,2,1,3
361,639.0,2,3,1,6,0.0,2,3,2,4,3,2,2
109,409.0,1,1,1,1,0.0,3,4,2,2,2,2,4
361,639.0,2,3,1,1,0.0,3,1,2,3,1,2,2
361,639.0,2,3,1,1,0.0,2,2,1,2,2,1,2
126,198.0,2,1,1,1,0.0,4,1,1,3,5,1,2
341,333.0,2,3,1,17,0.0,4,1,2,6,7,4,2
344,101.0,2,3,1,14,0.0,3,2,1,3,4,2,4
578,637.0,2,2,1,2,2.0,3,1,1,3,1,1,3
344,101.0,2,3,1,6,0.0,3,1,2,2,1,2,4
126,198.0,2,1,4,6,0.0,3,1,1,5,1,2,4
109,438.0,2,1,1,25,0.0,6,7,3,4,1,1,3
344,101.0,2,3,1,6,0.0,2,3,1,2,3,1,2
351,254.0,2,3,3,8,0.0,6,7,3,4,5,2,1
126,198.0,2,1,1,2,2.0,4,1,1,4,1,1,2
341,321.0,2,3,3,8,0.0,6,7,3,3,3,1,2
578,638.0,2,2,3,6,0.0,3,1,1,3,1,1,1
344,114.0,2,3,1,1,0.0,3,3,1,3,3,1,2
105,361.0,2,1,1,45,0.0,6,3,1,6,7,4,2
344,101.0,2,3,1,8,0.0,2,7,2,3,3,1,3
109,425.0,2,1,1,45,0.0,6,7,3,5,3,1,2
361,639.0,2,3,1,1,0.0,4,7,2,3,5,1,1
109,404.0,2,1,3,8,0.0,6,7,3,3,2,2,3
344,101.0,2,3,2,7,0.0,3,3,1,2,3,1,2
118,793.0,2,1,1,2,2.0,4,3,1,4,3,1,2
111,494.0,2,1,1,8,0.0,3,2,2,6,7,4,2
578,638.0,2,2,1,1,0.0,3,1,1,4,7,2,1
117,503.0,2,1,1,1,97.0,4,2,1,6,7,3,3
106,109.0,2,1,3,8,0.0,6,7,3,4,3,2,2
578,637.0,2,2,1,6,0.0,3,1,2,2,1,2,2
121,267.0,2,1,2,8,0.0,6,7,3,3,1,1,3
235,567.0,2,3,2,2,2.0,3,2,1,6,7,3,3
341,338.0,2,3,1,6,0.0,6,7,3,2,3,2,2
344,101.0,2,3,1,2,2.0,2,1,1,4,1,1,2
105,397.0,2,1,2,7,0.0,2,3,2,1,3,1,1
341,338.0,2,3,1,1,0.0,3,1,1,3,5,1,3
341,333.0,2,3,1,25,0.0,1,3,1,6,7,4,1
344,101.0,2,3,1,1,0.0,2,1,1,3,2,2,4
361,639.0,2,3,1,6,0.0,6,7,3,4,1,2,4
359,749.0,2,3,1,6,0.0,4,1,1,3,1,1,4
578,638.0,2,2,1,6,0.0,4,2,1,4,7,1,1
